Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
351.7939,-0.1738281,0.1699219,0.8544922,-64.34375,-23.03125,-1.25,0,0,0,0,0,0,63.13611,63.13611
351.8274,-0.1738281,0.1699219,0.8544922,-64.34375,-23.03125,-1.25,0,0,0,0,0,0,63.85852,63.85852
351.8605,0,0.08203125,1.231445,-25.65625,-0.625,-7.8125,0,0,0,0,0,0,63.85852,63.85852
351.8942,0,0.08203125,1.231445,-25.65625,-0.625,-7.8125,0,0,0,0,0,0,76.39147,76.39147
351.9279,0.1503906,0.109375,1.102539,-2.9375,19.15625,-7.21875,0,0,0,0,0,0,76.39147,76.39147
351.9629,0.1503906,0.109375,1.102539,-2.9375,19.15625,-7.21875,0,0,0,0,0,0,76.39147,76.39147
351.9947,0.1503906,0.109375,1.102539,-2.9375,19.15625,-7.21875,0,0,0,0,0,0,86.02202,86.02202
352.0284,-0.1132813,0.1523438,0.9931641,1.75,19.8125,-0.625,0,0,0,0,0,0,86.02202,86.02202
352.0614,-0.2363281,0.2519531,1.016602,-9.125,9.6875,0.46875,0,0,0,0,0,0,87.21488,87.21488
352.0957,-0.2363281,0.2519531,1.016602,-9.125,9.6875,0.46875,0,0,0,0,0,0,92.52628,92.52628
352.1289,-0.1103516,0.109375,1.061523,-26.0625,12.9375,14.03125,0,0,0,0,0,0,92.52628,92.52628
352.1623,-0.1103516,0.109375,1.061523,-26.0625,12.9375,14.03125,0,0,0,0,0,0,92.52628,92.52628
352.1957,-0.1103516,0.109375,1.061523,-26.0625,12.9375,14.03125,0,0,0,0,0,0,95.24775,95.24775
352.2289,-0.2626953,0.08984375,1.170898,-21.5,-11.5,17.0625,0,0,0,0,0,0,95.24775,95.24775
352.2626,-0.2626953,0.08984375,1.170898,-21.5,-11.5,17.0625,0,0,0,0,0,0,99.09239,99.09238
352.2973,-0.1699219,0.004882813,0.9052734,18.59375,-19.375,7,0,0,0,0,0,0,99.09239,99.09238
352.3309,-0.1699219,0.004882813,0.9052734,18.59375,-19.375,7,0,0,0,0,0,0,100.9845,100.9845
352.3625,-0.078125,0.1689453,1.067383,0.40625,-2.6875,0.40625,0,0,0,0,0,0,100.9845,100.9845
352.3973,-0.078125,0.1689453,1.067383,0.40625,-2.6875,0.40625,0,0,0,0,0,0,102.6092,102.6092
352.4303,-0.1279297,0.1738281,1.136719,-0.375,-3.1875,6.46875,0,0,0,0,0,0,102.6092,102.6092
352.4631,-0.1279297,0.1738281,1.136719,-0.375,-3.1875,6.46875,0,0,0,0,0,0,102.6092,102.6092
352.4975,-0.1279297,0.1738281,1.136719,-0.375,-3.1875,6.46875,0,0,0,0,0,0,103.8722,103.8722
352.5305,-0.1757813,0.0078125,1.051758,2.125,11.28125,3.71875,0,0,0,0,0,0,103.8722,103.8722
352.5644,-0.1757813,0.0078125,1.051758,2.125,11.28125,3.71875,0,0,0,0,0,0,103.8722,103.8722
352.597,-0.01660156,0.1376953,0.9306641,1.4375,1.09375,6.9375,0,0,0,0,0,0,103.3415,103.3415
352.6307,-0.01660156,0.1376953,0.9306641,1.4375,1.09375,6.9375,0,0,0,0,0,0,105.8799,105.8799
